# Assembly name:  GRCh38.p14
# Description:    Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14)
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA31257
# Submitter:      Genome Reference Consortium
# Date:           2022-02-03
# Synonyms:       hg38	
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001405.29
# RefSeq assembly accession: GCF_000001405.40
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2	GCF_000001305.16	Primary Assembly
## GCA_000005045.27	GCF_000005045.26	PATCHES
## GCA_000001315.2	GCF_000001315.3	ALT_REF_LOCI_1
## GCA_000001325.2	GCF_000001325.3	ALT_REF_LOCI_2
## GCA_000001335.2	GCF_000001335.2	ALT_REF_LOCI_3
## GCA_000001345.2	GCF_000001345.2	ALT_REF_LOCI_4
## GCA_000001355.2	GCF_000001355.2	ALT_REF_LOCI_5
## GCA_000001365.2	GCF_000001365.3	ALT_REF_LOCI_6
## GCA_000001375.2	GCF_000001375.2	ALT_REF_LOCI_7
## GCA_000510225.1	GCF_000510225.1	ALT_REF_LOCI_8
## GCA_000510235.1	GCF_000510235.1	ALT_REF_LOCI_9
## GCA_000509915.1	GCF_000509915.1	ALT_REF_LOCI_10
## GCA_000509925.1	GCF_000509925.1	ALT_REF_LOCI_11
## GCA_000509935.1	GCF_000509935.1	ALT_REF_LOCI_12
## GCA_000509945.1	GCF_000509945.1	ALT_REF_LOCI_13
## GCA_000509955.1	GCF_000509955.1	ALT_REF_LOCI_14
## GCA_000509965.1	GCF_000509965.1	ALT_REF_LOCI_15
## GCA_000509975.1	GCF_000509975.1	ALT_REF_LOCI_16
## GCA_000509985.1	GCF_000509985.1	ALT_REF_LOCI_17
## GCA_000509995.1	GCF_000509995.1	ALT_REF_LOCI_18
## GCA_000510005.1	GCF_000510005.1	ALT_REF_LOCI_19
## GCA_000510015.1	GCF_000510015.1	ALT_REF_LOCI_20
## GCA_000510025.1	GCF_000510025.1	ALT_REF_LOCI_21
## GCA_000510035.1	GCF_000510035.1	ALT_REF_LOCI_22
## GCA_000510045.1	GCF_000510045.1	ALT_REF_LOCI_23
## GCA_000510055.1	GCF_000510055.1	ALT_REF_LOCI_24
## GCA_000510065.1	GCF_000510065.1	ALT_REF_LOCI_25
## GCA_000510075.1	GCF_000510075.1	ALT_REF_LOCI_26
## GCA_000510085.1	GCF_000510085.1	ALT_REF_LOCI_27
## GCA_000510095.1	GCF_000510095.1	ALT_REF_LOCI_28
## GCA_000510105.1	GCF_000510105.1	ALT_REF_LOCI_29
## GCA_000510125.1	GCF_000510125.1	ALT_REF_LOCI_30
## GCA_000510135.1	GCF_000510135.1	ALT_REF_LOCI_31
## GCA_000510145.1	GCF_000510145.1	ALT_REF_LOCI_32
## GCA_000510155.1	GCF_000510155.1	ALT_REF_LOCI_33
## GCA_000510165.1	GCF_000510165.1	ALT_REF_LOCI_34
## GCA_000510175.1	GCF_000510175.1	ALT_REF_LOCI_35
## GCA_000006015.1	GCF_000006015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
HG152_PATCH	fix-patch	11	Chromosome	MU273369.1	=	NW_025791792.1	PATCHES	434831	chr11_MU273369v1_fix
HG2568_PATCH	fix-patch	11	Chromosome	MU273370.1	=	NW_025791793.1	PATCHES	344606	chr11_MU273370v1_fix
HG2578_PATCH	fix-patch	11	Chromosome	MU273371.1	=	NW_025791794.1	PATCHES	122722	chr11_MU273371v1_fix
HSCHR11_1_CTG1_2	novel-patch	11	Chromosome	KN538368.1	=	NW_011332695.1	PATCHES	203552	chr11_KN538368v1_alt
HSCHR11_2_CTG8	novel-patch	11	Chromosome	KZ559110.1	=	NW_019805497.1	PATCHES	301637	chr11_KZ559110v1_alt
HSCHR11_1_CTG3_1	novel-patch	11	Chromosome	KZ559111.1	=	NW_019805498.1	PATCHES	181167	chr11_KZ559111v1_alt
HSCHR11_2_CTG3_1	novel-patch	11	Chromosome	MU273368.1	=	NW_025791791.1	PATCHES	261194	chr11_MU273368v1_alt
HG23_PATCH	fix-patch	12	Chromosome	KN196482.1	=	NW_009646204.1	PATCHES	211377	chr12_KN196482v1_fix
HG1362_PATCH	fix-patch	12	Chromosome	KN538369.1	=	NW_011332696.1	PATCHES	541038	chr12_KN538369v1_fix
HG2247_PATCH	fix-patch	12	Chromosome	KN538370.1	=	NW_011332697.1	PATCHES	86533	chr12_KN538370v1_fix
HG2063_PATCH	fix-patch	12	Chromosome	KQ759760.1	=	NW_015148967.1	PATCHES	315610	chr12_KQ759760v1_fix
HG1815_PATCH	fix-patch	12	Chromosome	KZ208916.1	=	NW_018654718.1	PATCHES	1046838	chr12_KZ208916v1_fix
HG2047_PATCH	fix-patch	12	Chromosome	KZ208917.1	=	NW_018654719.1	PATCHES	64689	chr12_KZ208917v1_fix
HG2246_HG2248_HG2276_PATCH	fix-patch	12	Chromosome	ML143361.1	=	NW_021160007.1	PATCHES	297568	chr12_ML143361v1_fix
HG1398_PATCH	fix-patch	12	Chromosome	ML143362.1	=	NW_021160008.1	PATCHES	192531	chr12_ML143362v1_fix
HG2554_PATCH	fix-patch	12	Chromosome	MU273372.1	=	NW_025791795.1	PATCHES	104537	chr12_MU273372v1_fix
HSCHR12_2_CTG1	novel-patch	12	Chromosome	KQ090023.1	=	NW_013171809.1	PATCHES	109323	chr12_KQ090023v1_alt
HSCHR12_8_CTG2_1	novel-patch	12	Chromosome	KZ208918.1	=	NW_018654720.1	PATCHES	174808	chr12_KZ208918v1_alt
HSCHR12_9_CTG2_1	novel-patch	12	Chromosome	KZ559112.1	=	NW_019805499.1	PATCHES	154139	chr12_KZ559112v1_alt
HG2216_PATCH	fix-patch	13	Chromosome	KN196483.1	=	NW_009646205.1	PATCHES	35455	chr13_KN196483v1_fix
HG2288_HG2289_PATCH	fix-patch	13	Chromosome	KN538371.1	=	NW_011332698.1	PATCHES	206320	chr13_KN538371v1_fix
HG2291_PATCH	fix-patch	13	Chromosome	KN538372.1	=	NW_011332699.1	PATCHES	356766	chr13_KN538372v1_fix
HG2249_PATCH	fix-patch	13	Chromosome	KN538373.1	=	NW_011332700.1	PATCHES	148762	chr13_KN538373v1_fix
HG1817_1_PATCH	fix-patch	13	Chromosome	ML143363.1	=	NW_021160009.1	PATCHES	7309	chr13_ML143363v1_fix
HG1523_PATCH	fix-patch	13	Chromosome	ML143364.1	=	NW_021160010.1	PATCHES	158944	chr13_ML143364v1_fix
HG1524_PATCH	fix-patch	13	Chromosome	ML143365.1	=	NW_021160011.1	PATCHES	65394	chr13_ML143365v1_fix
HG2509_PATCH	fix-patch	13	Chromosome	ML143366.1	=	NW_021160012.1	PATCHES	409912	chr13_ML143366v1_fix
HSCHR13_1_CTG7	novel-patch	13	Chromosome	KQ090024.1	=	NW_013171810.1	PATCHES	168146	chr13_KQ090024v1_alt
HSCHR13_1_CTG8	novel-patch	13	Chromosome	KQ090025.1	=	NW_013171811.1	PATCHES	123480	chr13_KQ090025v1_alt
HG1_PATCH	fix-patch	14	Chromosome	KZ208920.1	=	NW_018654722.1	PATCHES	690932	chr14_KZ208920v1_fix
HG2510_PATCH	fix-patch	14	Chromosome	ML143367.1	=	NW_021160013.1	PATCHES	399183	chr14_ML143367v1_fix
HG2526_HG2573_PATCH	fix-patch	14	Chromosome	MU273373.1	=	NW_025791796.1	PATCHES	722645	chr14_MU273373v1_fix
HSCHR14_8_CTG1	novel-patch	14	Chromosome	KZ208919.1	=	NW_018654721.1	PATCHES	171798	chr14_KZ208919v1_alt
HSCHR14_9_CTG1	novel-patch	14	Chromosome	ML143368.1	=	NW_021160014.1	PATCHES	264228	chr14_ML143368v1_alt
HG2139_PATCH	fix-patch	15	Chromosome	KN538374.1	=	NW_011332701.1	PATCHES	4998962	chr15_KN538374v1_fix
HG2499_PATCH	fix-patch	15	Chromosome	ML143369.1	=	NW_021160015.1	PATCHES	97763	chr15_ML143369v1_fix
HG2198_PATCH	fix-patch	15	Chromosome	ML143370.1	=	NW_021160016.1	PATCHES	369264	chr15_ML143370v1_fix
HG2365_PATCH	fix-patch	15	Chromosome	ML143371.1	=	NW_021160017.1	PATCHES	5500449	chr15_ML143371v1_fix
HG2511_PATCH	fix-patch	15	Chromosome	ML143372.1	=	NW_021160018.1	PATCHES	396515	chr15_ML143372v1_fix
HG2280_PATCH	fix-patch	15	Chromosome	MU273374.1	=	NW_025791797.1	PATCHES	1154574	chr15_MU273374v1_fix
HSCHR15_6_CTG8	novel-patch	15	Chromosome	KQ031389.1	=	NW_012132920.1	PATCHES	2365364	chr15_KQ031389v1_alt
HSCHR15_9_CTG8	novel-patch	15	Chromosome	MU273375.1	=	NW_025791798.1	PATCHES	204007	chr15_MU273375v1_alt
HG926_PATCH	fix-patch	16	Chromosome	KV880768.1	=	NW_017852933.1	PATCHES	1927115	chr16_KV880768v1_fix
HG2263_PATCH	fix-patch	16	Chromosome	KZ559113.1	=	NW_019805500.1	PATCHES	480415	chr16_KZ559113v1_fix
HG2471_PATCH	fix-patch	16	Chromosome	ML143373.1	=	NW_021160019.1	PATCHES	270967	chr16_ML143373v1_fix
HG401_PATCH	fix-patch	16	Chromosome	MU273376.1	=	NW_025791799.1	PATCHES	87715	chr16_MU273376v1_fix
HG405_PATCH	fix-patch	16	Chromosome	MU273377.1	=	NW_025791800.1	PATCHES	334997	chr16_MU273377v1_fix
HSCHR16_3_CTG3_1	novel-patch	16	Chromosome	KQ031390.1	=	NW_012132921.1	PATCHES	169136	chr16_KQ031390v1_alt
HSCHR16_5_CTG1	novel-patch	16	Chromosome	KQ090026.1	=	NW_013171812.1	PATCHES	59016	chr16_KQ090026v1_alt
HSCHR16_4_CTG3_1	novel-patch	16	Chromosome	KQ090027.1	=	NW_013171813.1	PATCHES	267463	chr16_KQ090027v1_alt
HSCHR16_5_CTG3_1	novel-patch	16	Chromosome	KZ208921.1	=	NW_018654723.1	PATCHES	78609	chr16_KZ208921v1_alt
HG2046_PATCH	fix-patch	17	Chromosome	KV575245.1	=	NW_016107299.1	PATCHES	154723	chr17_KV575245v1_fix
HG2285_HG106_HG2252_PATCH	fix-patch	17	Chromosome	KV766196.1	=	NW_017363817.1	PATCHES	281919	chr17_KV766196v1_fix
HG2087_PATCH	fix-patch	17	Chromosome	ML143374.1	=	NW_021160020.1	PATCHES	137908	chr17_ML143374v1_fix
HG1320_PATCH	fix-patch	17	Chromosome	ML143375.1	=	NW_021160021.1	PATCHES	56695	chr17_ML143375v1_fix
HG2118_PATCH	fix-patch	17	Chromosome	MU273379.1	=	NW_025791802.1	PATCHES	234878	chr17_MU273379v1_fix
HG2407_PATCH	fix-patch	17	Chromosome	MU273380.1	=	NW_025791803.1	PATCHES	538541	chr17_MU273380v1_fix
HG2251_PATCH	fix-patch	17	Chromosome	MU273381.1	=	NW_025791804.1	PATCHES	144689	chr17_MU273381v1_fix
HG1369_PATCH	fix-patch	17	Chromosome	MU273382.1	=	NW_025791805.1	PATCHES	187626	chr17_MU273382v1_fix
HG2580_PATCH	fix-patch	17	Chromosome	MU273383.1	=	NW_025791806.1	PATCHES	172609	chr17_MU273383v1_fix
HSCHR17_11_CTG4	novel-patch	17	Chromosome	KV766197.1	=	NW_017363818.1	PATCHES	246895	chr17_KV766197v1_alt
HSCHR17_3_CTG1	novel-patch	17	Chromosome	KV766198.1	=	NW_017363819.1	PATCHES	276292	chr17_KV766198v1_alt
HSCHR17_12_CTG4	novel-patch	17	Chromosome	KZ559114.1	=	NW_019805501.1	PATCHES	116753	chr17_KZ559114v1_alt
HSCHR17_13_CTG4	novel-patch	17	Chromosome	MU273378.1	=	NW_025791801.1	PATCHES	372839	chr17_MU273378v1_alt
HG2213_PATCH	fix-patch	18	Chromosome	KQ090028.1	=	NW_013171814.1	PATCHES	407387	chr18_KQ090028v1_fix
HG2442_PATCH	fix-patch	18	Chromosome	KZ208922.1	=	NW_018654724.1	PATCHES	93070	chr18_KZ208922v1_fix
HG2412_PATCH	fix-patch	18	Chromosome	KZ559115.1	=	NW_019805502.1	PATCHES	230843	chr18_KZ559115v1_fix
HSCHR18_5_CTG1_1	novel-patch	18	Chromosome	KQ458385.1	=	NW_014040928.1	PATCHES	205101	chr18_KQ458385v1_alt
HSCHR18_1_CTG1	novel-patch	18	Chromosome	KZ559116.1	=	NW_019805503.1	PATCHES	163186	chr18_KZ559116v1_alt
HG2021_PATCH	fix-patch	19	Chromosome	KN196484.1	=	NW_009646206.1	PATCHES	370917	chr19_KN196484v1_fix
HG26_PATCH	fix-patch	19	Chromosome	KQ458386.1	=	NW_014040929.1	PATCHES	405389	chr19_KQ458386v1_fix
HG109_PATCH	fix-patch	19	Chromosome	ML143376.1	=	NW_021160022.1	PATCHES	493165	chr19_ML143376v1_fix
HG2461_PATCH	fix-patch	19	Chromosome	MU273384.1	=	NW_025791807.1	PATCHES	333754	chr19_MU273384v1_fix
HG2569_PATCH	fix-patch	19	Chromosome	MU273385.1	=	NW_025791808.1	PATCHES	137818	chr19_MU273385v1_fix
HG2469_PATCH	fix-patch	19	Chromosome	MU273386.1	=	NW_025791809.1	PATCHES	226166	chr19_MU273386v1_fix
HSCHR19KIR_0019-4656-A_CTG3_1	novel-patch	19	Chromosome	KV575246.1	=	NW_016107300.1	PATCHES	163926	chr19_KV575246v1_alt
HSCHR19KIR_CA01-TA01_1_CTG3_1	novel-patch	19	Chromosome	KV575247.1	=	NW_016107301.1	PATCHES	170206	chr19_KV575247v1_alt
HSCHR19KIR_CA01-TA01_2_CTG3_1	novel-patch	19	Chromosome	KV575248.1	=	NW_016107302.1	PATCHES	168131	chr19_KV575248v1_alt
HSCHR19KIR_CA01-TB04_CTG3_1	novel-patch	19	Chromosome	KV575249.1	=	NW_016107303.1	PATCHES	293522	chr19_KV575249v1_alt
HSCHR19KIR_CA01-TB01_CTG3_1	novel-patch	19	Chromosome	KV575250.1	=	NW_016107304.1	PATCHES	241058	chr19_KV575250v1_alt
HSCHR19KIR_HG2394_CTG3_1	novel-patch	19	Chromosome	KV575251.1	=	NW_016107305.1	PATCHES	159285	chr19_KV575251v1_alt
HSCHR19KIR_502960008-2_CTG3_1	novel-patch	19	Chromosome	KV575252.1	=	NW_016107306.1	PATCHES	178197	chr19_KV575252v1_alt
HSCHR19KIR_502960008-1_CTG3_1	novel-patch	19	Chromosome	KV575253.1	=	NW_016107307.1	PATCHES	166713	chr19_KV575253v1_alt
HSCHR19KIR_0010-5217-AB_CTG3_1	novel-patch	19	Chromosome	KV575254.1	=	NW_016107308.1	PATCHES	99845	chr19_KV575254v1_alt
HSCHR19KIR_7191059-1_CTG3_1	novel-patch	19	Chromosome	KV575255.1	=	NW_016107309.1	PATCHES	161095	chr19_KV575255v1_alt
HSCHR19KIR_0019-4656-B_CTG3_1	novel-patch	19	Chromosome	KV575256.1	=	NW_016107310.1	PATCHES	223118	chr19_KV575256v1_alt
HSCHR19KIR_CA04_CTG3_1	novel-patch	19	Chromosome	KV575257.1	=	NW_016107311.1	PATCHES	100553	chr19_KV575257v1_alt
HSCHR19KIR_HG2393_CTG3_1	novel-patch	19	Chromosome	KV575258.1	=	NW_016107312.1	PATCHES	156965	chr19_KV575258v1_alt
HSCHR19KIR_7191059-2_CTG3_1	novel-patch	19	Chromosome	KV575259.1	=	NW_016107313.1	PATCHES	171263	chr19_KV575259v1_alt
HSCHR19KIR_HG2396_CTG3_1	novel-patch	19	Chromosome	KV575260.1	=	NW_016107314.1	PATCHES	145691	chr19_KV575260v1_alt
HSCHR19_6_CTG2	novel-patch	19	Chromosome	MU273387.1	=	NW_025791810.1	PATCHES	89211	chr19_MU273387v1_alt
HG2225_PATCH	fix-patch	20	Chromosome	MU273388.1	=	NW_025791811.1	PATCHES	273725	chr20_MU273388v1_fix
HG410_PATCH	fix-patch	20	Chromosome	MU273389.1	=	NW_025791812.1	PATCHES	355731	chr20_MU273389v1_fix
HG2513_PATCH	fix-patch	21	Chromosome	ML143377.1	=	NW_021160023.1	PATCHES	519485	chr21_ML143377v1_fix
HG2219_PATCH	fix-patch	21	Chromosome	MU273390.1	=	NW_025791813.1	PATCHES	336752	chr21_MU273390v1_fix
HG2265_PATCH	fix-patch	21	Chromosome	MU273391.1	=	NW_025791814.1	PATCHES	1020778	chr21_MU273391v1_fix
HG2521_PATCH	fix-patch	21	Chromosome	MU273392.1	=	NW_025791815.1	PATCHES	189707	chr21_MU273392v1_fix
HG1311_HG2539_PATCH	fix-patch	22	Chromosome	KQ759762.2	=	NW_015148969.2	PATCHES	101040	chr22_KQ759762v2_fix
HG1485_PATCH	fix-patch	22	Chromosome	ML143378.1	=	NW_021160024.1	PATCHES	461303	chr22_ML143378v1_fix
HG494_PATCH	fix-patch	22	Chromosome	ML143379.1	=	NW_021160025.1	PATCHES	12295	chr22_ML143379v1_fix
HG2512_PATCH	fix-patch	22	Chromosome	ML143380.1	=	NW_021160026.1	PATCHES	412368	chr22_ML143380v1_fix
HSCHR22_4_CTG1	novel-patch	22	Chromosome	KN196485.1	=	NW_009646207.1	PATCHES	156562	chr22_KN196485v1_alt
HSCHR22_5_CTG1	novel-patch	22	Chromosome	KN196486.1	=	NW_009646208.1	PATCHES	153027	chr22_KN196486v1_alt
HSCHR22_6_CTG1	novel-patch	22	Chromosome	KQ458387.1	=	NW_014040930.1	PATCHES	155930	chr22_KQ458387v1_alt
HSCHR22_7_CTG1	novel-patch	22	Chromosome	KQ458388.1	=	NW_014040931.1	PATCHES	174749	chr22_KQ458388v1_alt
HSCHR22_8_CTG1	novel-patch	22	Chromosome	KQ759761.1	=	NW_015148968.1	PATCHES	145162	chr22_KQ759761v1_alt
HG439_PATCH	fix-patch	X	Chromosome	ML143381.1	=	NW_021160027.1	PATCHES	403128	chrX_ML143381v1_fix
HG1506_PATCH	fix-patch	X	Chromosome	ML143382.1	=	NW_021160028.1	PATCHES	28824	chrX_ML143382v1_fix
HG1507_PATCH	fix-patch	X	Chromosome	ML143383.1	=	NW_021160029.1	PATCHES	68192	chrX_ML143383v1_fix
HG1509_PATCH	fix-patch	X	Chromosome	ML143384.1	=	NW_021160030.1	PATCHES	14678	chrX_ML143384v1_fix
HG1466_PATCH	fix-patch	X	Chromosome	ML143385.1	=	NW_021160031.1	PATCHES	17435	chrX_ML143385v1_fix
HG2527_PATCH	fix-patch	X	Chromosome	MU273393.1	=	NW_025791816.1	PATCHES	68810	chrX_MU273393v1_fix
HG2541_PATCH	fix-patch	X	Chromosome	MU273394.1	=	NW_025791817.1	PATCHES	140567	chrX_MU273394v1_fix
HSCHRX_3_CTG7	novel-patch	X	Chromosome	KV766199.1	=	NW_017363820.1	PATCHES	188004	chrX_KV766199v1_alt
HSCHRX_1_CTG14	novel-patch	X	Chromosome	MU273395.1	=	NW_025791818.1	PATCHES	619716	chrX_MU273395v1_alt
HSCHRX_2_CTG14	novel-patch	X	Chromosome	MU273396.1	=	NW_025791819.1	PATCHES	294119	chrX_MU273396v1_alt
HSCHRX_3_CTG3	novel-patch	X	Chromosome	MU273397.1	=	NW_025791820.1	PATCHES	330493	chrX_MU273397v1_alt
HG2062_PATCH	fix-patch	Y	Chromosome	KN196487.1	=	NW_009646209.1	PATCHES	101150	chrY_KN196487v1_fix
HG1531_PATCH	fix-patch	Y	Chromosome	KZ208923.1	=	NW_018654725.1	PATCHES	48370	chrY_KZ208923v1_fix
HG1535_PATCH	fix-patch	Y	Chromosome	KZ208924.1	=	NW_018654726.1	PATCHES	209722	chrY_KZ208924v1_fix
HG1532_PATCH	fix-patch	Y	Chromosome	MU273398.1	=	NW_025791821.1	PATCHES	865743	chrY_MU273398v1_fix
HSCHR1_1_CTG31	alt-scaffold	1	Chromosome	GL383518.1	=	NW_003315905.1	ALT_REF_LOCI_1	182439	chr1_GL383518v1_alt
HSCHR1_2_CTG31	alt-scaffold	1	Chromosome	GL383519.1	=	NW_003315906.1	ALT_REF_LOCI_1	110268	chr1_GL383519v1_alt
HSCHR1_3_CTG31	alt-scaffold	1	Chromosome	GL383520.2	=	NW_003315907.2	ALT_REF_LOCI_1	366580	chr1_GL383520v2_alt
HSCHR1_1_CTG32_1	alt-scaffold	1	Chromosome	KI270759.1	=	NT_187516.1	ALT_REF_LOCI_1	425601	chr1_KI270759v1_alt
HSCHR1_1_CTG11	alt-scaffold	1	Chromosome	KI270760.1	=	NT_187514.1	ALT_REF_LOCI_1	109528	chr1_KI270760v1_alt
HSCHR1_2_CTG32_1	alt-scaffold	1	Chromosome	KI270761.1	=	NT_187518.1	ALT_REF_LOCI_1	165834	chr1_KI270761v1_alt
HSCHR1_1_CTG3	alt-scaffold	1	Chromosome	KI270762.1	=	NT_187515.1	ALT_REF_LOCI_1	354444	chr1_KI270762v1_alt
HSCHR1_3_CTG32_1	alt-scaffold	1	Chromosome	KI270763.1	=	NT_187519.1	ALT_REF_LOCI_1	911658	chr1_KI270763v1_alt
HSCHR1_4_CTG32_1	alt-scaffold	1	Chromosome	KI270764.1	=	NT_187521.1	ALT_REF_LOCI_1	50258	chr1_KI270764v1_alt
HSCHR1_4_CTG31	alt-scaffold	1	Chromosome	KI270765.1	=	NT_187520.1	ALT_REF_LOCI_1	185285	chr1_KI270765v1_alt
HSCHR1_2_CTG3	alt-scaffold	1	Chromosome	KI270766.1	=	NT_187517.1	ALT_REF_LOCI_1	256271	chr1_KI270766v1_alt
HSCHR2_1_CTG5	alt-scaffold	2	Chromosome	GL383521.1	=	NW_003315908.1	ALT_REF_LOCI_1	143390	chr2_GL383521v1_alt
HSCHR2_1_CTG7_2	alt-scaffold	2	Chromosome	GL383522.1	=	NW_003315909.1	ALT_REF_LOCI_1	123821	chr2_GL383522v1_alt
HSCHR2_2_CTG7_2	alt-scaffold	2	Chromosome	GL582966.2	=	NW_003571033.2	ALT_REF_LOCI_1	96131	chr2_GL582966v2_alt
HSCHR2_1_CTG15	alt-scaffold	2	Chromosome	KI270767.1	=	NT_187523.1	ALT_REF_LOCI_1	161578	chr2_KI270767v1_alt
HSCHR2_3_CTG7_2	alt-scaffold	2	Chromosome	KI270768.1	=	NT_187528.1	ALT_REF_LOCI_1	110099	chr2_KI270768v1_alt
HSCHR2_1_CTG1	alt-scaffold	2	Chromosome	KI270769.1	=	NT_187522.1	ALT_REF_LOCI_1	120616	chr2_KI270769v1_alt
HSCHR2_2_CTG1	alt-scaffold	2	Chromosome	KI270770.1	=	NT_187525.1	ALT_REF_LOCI_1	136240	chr2_KI270770v1_alt
HSCHR2_4_CTG7_2	alt-scaffold	2	Chromosome	KI270771.1	=	NT_187530.1	ALT_REF_LOCI_1	110395	chr2_KI270771v1_alt
HSCHR2_1_CTG7	alt-scaffold	2	Chromosome	KI270772.1	=	NT_187524.1	ALT_REF_LOCI_1	133041	chr2_KI270772v1_alt
HSCHR2_3_CTG1	alt-scaffold	2	Chromosome	KI270773.1	=	NT_187526.1	ALT_REF_LOCI_1	70887	chr2_KI270773v1_alt
HSCHR2_4_CTG1	alt-scaffold	2	Chromosome	KI270774.1	=	NT_187529.1	ALT_REF_LOCI_1	223625	chr2_KI270774v1_alt
HSCHR2_5_CTG7_2	alt-scaffold	2	Chromosome	KI270775.1	=	NT_187531.1	ALT_REF_LOCI_1	138019	chr2_KI270775v1_alt
HSCHR2_3_CTG15	alt-scaffold	2	Chromosome	KI270776.1	=	NT_187527.1	ALT_REF_LOCI_1	174166	chr2_KI270776v1_alt
HSCHR3_1_CTG2_1	alt-scaffold	3	Chromosome	GL383526.1	=	NW_003315913.1	ALT_REF_LOCI_1	180671	chr3_GL383526v1_alt
HSCHR3_1_CTG1	alt-scaffold	3	Chromosome	JH636055.2	=	NW_003871060.2	ALT_REF_LOCI_1	173151	chr3_JH636055v2_alt
HSCHR3_2_CTG2_1	alt-scaffold	3	Chromosome	KI270777.1	=	NT_187533.1	ALT_REF_LOCI_1	173649	chr3_KI270777v1_alt
HSCHR3_3_CTG2_1	alt-scaffold	3	Chromosome	KI270778.1	=	NT_187536.1	ALT_REF_LOCI_1	248252	chr3_KI270778v1_alt
HSCHR3_1_CTG3	alt-scaffold	3	Chromosome	KI270779.1	=	NT_187532.1	ALT_REF_LOCI_1	205312	chr3_KI270779v1_alt
HSCHR3_4_CTG2_1	alt-scaffold	3	Chromosome	KI270780.1	=	NT_187537.1	ALT_REF_LOCI_1	224108	chr3_KI270780v1_alt
HSCHR3_5_CTG2_1	alt-scaffold	3	Chromosome	KI270781.1	=	NT_187538.1	ALT_REF_LOCI_1	113034	chr3_KI270781v1_alt
HSCHR3_2_CTG3	alt-scaffold	3	Chromosome	KI270782.1	=	NT_187534.1	ALT_REF_LOCI_1	162429	chr3_KI270782v1_alt
HSCHR3_3_CTG1	alt-scaffold	3	Chromosome	KI270783.1	=	NT_187535.1	ALT_REF_LOCI_1	109187	chr3_KI270783v1_alt
HSCHR3_9_CTG3	alt-scaffold	3	Chromosome	KI270784.1	=	NT_187539.1	ALT_REF_LOCI_1	184404	chr3_KI270784v1_alt
HSCHR4_1_CTG9	alt-scaffold	4	Chromosome	GL000257.2	=	NT_167250.2	ALT_REF_LOCI_1	586476	chr4_GL000257v2_alt
HSCHR4_1_CTG12	alt-scaffold	4	Chromosome	GL383527.1	=	NW_003315914.1	ALT_REF_LOCI_1	164536	chr4_GL383527v1_alt
HSCHR4_1_CTG6	alt-scaffold	4	Chromosome	GL383528.1	=	NW_003315915.1	ALT_REF_LOCI_1	376187	chr4_GL383528v1_alt
HSCHR4_2_CTG12	alt-scaffold	4	Chromosome	KI270785.1	=	NT_187542.1	ALT_REF_LOCI_1	119912	chr4_KI270785v1_alt
HSCHR4_3_CTG12	alt-scaffold	4	Chromosome	KI270786.1	=	NT_187543.1	ALT_REF_LOCI_1	244096	chr4_KI270786v1_alt
HSCHR4_1_CTG8_1	alt-scaffold	4	Chromosome	KI270787.1	=	NT_187541.1	ALT_REF_LOCI_1	111943	chr4_KI270787v1_alt
HSCHR4_4_CTG12	alt-scaffold	4	Chromosome	KI270788.1	=	NT_187544.1	ALT_REF_LOCI_1	158965	chr4_KI270788v1_alt
HSCHR4_5_CTG12	alt-scaffold	4	Chromosome	KI270789.1	=	NT_187545.1	ALT_REF_LOCI_1	205944	chr4_KI270789v1_alt
HSCHR4_1_CTG4	alt-scaffold	4	Chromosome	KI270790.1	=	NT_187540.1	ALT_REF_LOCI_1	220246	chr4_KI270790v1_alt
HSCHR5_2_CTG1_1	alt-scaffold	5	Chromosome	GL339449.2	=	NW_003315917.2	ALT_REF_LOCI_1	1612928	chr5_GL339449v2_alt
HSCHR5_3_CTG1_1	alt-scaffold	5	Chromosome	GL383530.1	=	NW_003315918.1	ALT_REF_LOCI_1	101241	chr5_GL383530v1_alt
HSCHR5_1_CTG5	alt-scaffold	5	Chromosome	GL383531.1	=	NW_003315919.1	ALT_REF_LOCI_1	173459	chr5_GL383531v1_alt
HSCHR5_1_CTG1	alt-scaffold	5	Chromosome	GL383532.1	=	NW_003315920.1	ALT_REF_LOCI_1	82728	chr5_GL383532v1_alt
HSCHR5_2_CTG1	alt-scaffold	5	Chromosome	GL949742.1	=	NW_003571036.1	ALT_REF_LOCI_1	226852	chr5_GL949742v1_alt
